Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Panchagarh 50 MW Solar Park,Solar,Pv,PP,BD,50,0.25,,0,0,0,2033,2033,,2053,26.2598,88.7632,,,
"Baraiyarhat, Chattogram 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2034,2034,,2054,22.8962,91.8439,,,
"Terokhada, Khulna 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2034,2034,,2054,22.9089,89.8185,,,
Chuadanga 50 MW Solar Power Plant,Solar,Pv,PP,BD,50,0.25,,0,0,0,2035,2035,,2055,23.6408,88.8413,,,
"Madarganj, Jamalpur 100 MW Solar Power Plant",Solar,Pv,PP,BD,100,0.25,,0,0,0,2029,2029,,2049,24.9056,89.9482,,,
"Ishwardi, Rajshahi 70 MW Solar Power Plant",Solar,Pv,PP,BD,70,0.25,,0,0,0,2029,2029,,2049,24.1283,89.0591,,,
"Muktagachha, Mymensingh 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2030,2030,,2050,24.754,90.3984,,,
"Sonagazi, Feni 30 MW Wind Power Plant",Wind,Offshore,PP,BD,30,0.4,,0,0,0,2030,2030,,2050,23.023,91.381,,,
"Trishal, Mymensingh 64 MW Solar Power Plant",Solar,Pv,PP,BD,64,0.25,,0,0,0,2031,2031,,2051,24.6044,90.3615,,,
"Muktagachha, Mymensingh 20 MW Solar Power Plant",Solar,Pv,PP,BD,20,0.25,,0,0,0,2031,2031,,2051,24.754,90.3984,,,
"Jamaldi, Gazaria 660 MW CCPP (EDRA)",Natural Gas,CCGT,PP,BD,660,0.37,,0,0,0,2032,2032,,2057,23.5945,90.5324,,,
Meghnaghat 450 MW CCPP (Anlima),Natural Gas,CCGT,PP,BD,450,0.37,,0,0,0,2032,2032,,2057,23.5648,90.5405,,,
Mirsorai 660 MW PP (Confidence),Natural Gas,CCGT,PP,BD,660,0.37,,0,0,0,2033,2033,,2058,22.7768,91.5613,,,
Kaptai 7.6 Solar Power Plant,Solar,Pv,PP,BD,8,0.25,,0,0,0,2033,2033,,2053,22.4978,92.2263,,,
Barapukuria 20 MW Solar Power Plant,Solar,Pv,PP,BD,20,0.25,,0,0,0,2034,2034,,2054,25.5546,88.9189,,,
Rangunia 50 MW Solar Power Plant,Solar,Pv,PP,BD,50,0.25,,0,0,0,2034,2034,,2054,22.4332,91.9487,,,
"Raojan, Chattogram 400±10% MW CCPP",Natural Gas,CCGT,PP,BD,400,0.37,,0,0,0,2035,2035,,2060,22.5237,91.9075,,,
Netrokona 50 MW Solar Power Plant,Solar,Pv,PP,BD,50,0.25,,0,0,0,2035,2035,,2055,24.8701,90.727,,,
"Inani, Cox's Bazar 50 MW Wind Power Plant",Wind,Offshore,PP,BD,50,0.4,,0,0,0,2029,2029,,2049,21.2553,92.0048,,,
Chandpur 50 MW Wind Power Plant,Wind,Offshore,PP,BD,50,0.4,,0,0,0,2029,2029,,2049,23.2333,90.6714,,,
Gazaria 50 MW Solar Power Plant Project,Solar,Pv,PP,BD,50,0.25,,0,0,0,2036,2036,,2056,23.5945,90.5324,,,
Panchagarh 30 MW Solar Power Plant,Solar,Pv,PP,BD,30,0.25,,0,0,0,2036,2036,,2056,26.2598,88.7632,,,
"Sonagazi, Feni 100 MW Solar Power Plant Project-1",Solar,Pv,PP,BD,100,0.25,,0,0,0,2037,2037,,2057,23.023,91.381,,,
"Sonagazi, Feni 100 MW Solar Power Plant Project-2",Solar,Pv,PP,BD,100,0.25,,0,0,0,2037,2037,,2057,23.023,91.381,,,
Haripur GT Power Plant,Natural Gas,CCGT,PP,BD,250,0.37,,0,0,0,2038,2038,,2063,23.6222,90.5106,,,
"Sonagazi, Feni 82.50 MW Solar Park",Solar,Pv,PP,BD,83,0.25,,0,0,0,2038,2038,,2058,23.023,91.381,,,
Padma 50 MW Solar Power Plant,Solar,Pv,PP,BD,50,0.25,,0,0,0,2039,2039,,2059,23.7764,90.4258,,,
"Parki Beach, Anwara, Chattogram 100 MW Wind Power Plant",Wind,Offshore,PP,BD,100,0.4,,0,0,0,2039,2039,,2059,22.2382,91.8166,,,
Ghorasal,Natural Gas,CCGT,PP,BD,225,0.37,,0,0,0,2040,2040,,2065,23.7932,90.6242,,,
Mymenshingh  MW CCPP,Natural Gas,CCGT,PP,BD,400,0.37,,0,0,0,2040,2040,,2065,24.754,90.3984,,,
"Payra 1,200 MW LNG based CCPP (1st Phase)",Natural Gas,CCGT,PP,BD,1200,0.37,,0,0,0,2036,2036,,2061,22.3419,90.3187,,,
Barishal 2 MW Solar PP (Phase-1),Solar,Pv,PP,BD,2,0.25,,0,0,0,2036,2036,,2056,22.701,90.3535,,,
"Raypura, Narsingdi 100 MW Solar PP",Solar,Pv,PP,BD,100,0.25,,0,0,0,2037,2037,,2057,23.9195,90.7173,,,
Bheramara 150 MW,Natural Gas,CCGT,PP,BD,150,0.37,,0,0,0,2037,2037,,2062,24.0296,88.9926,,,
"Sonagazi, Feni  MW CCPP",Natural Gas,CCGT,PP,BD,550,0.37,,0,0,0,2038,2038,,2063,23.023,91.381,,,
Matarbari 1200 MW Hard Coal Based (2nd Phase),Hard Coal,Steam Turbine,PP,BD,1200,0.39,,0,0,0,2038,2038,,2073,21.7817,91.8827,,,
Gazaria ,Natural Gas,CCGT,PP,BD,550,0.37,,0,0,0,2039,2039,,2064,23.5945,90.5324,,,
"Matarbari, Coxs Bazar 50 MW Wind Power Plant",Wind,Offshore,PP,BD,50,0.4,,0,0,0,2039,2039,,2059,21.7817,91.8827,,,
Barishal 2 MW Solar PP (Phase-2),Solar,Pv,PP,BD,2,0.25,,0,0,0,2040,2040,,2060,22.701,90.3535,,,
"Matarbari, Coxs Bazar 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2040,2040,,2060,21.7817,91.8827,,,
Parki Beach 100 MW Solar Power Plant,Solar,Pv,PP,BD,100,0.25,,0,0,0,2036,2036,,2056,22.2382,91.8166,,,
"Sonagazi, Feni 100 MW Solar Power Plant Project-3",Solar,Pv,PP,BD,100,0.25,,0,0,0,2036,2036,,2056,23.023,91.381,,,
Moheshkhali 160-250 MW Solar,Solar,Pv,PP,BD,160,0.25,,0,0,0,2037,2037,,2057,21.5075,91.918,,,
"Matarbari, Cox's Bazar Solar Power Plant (CPGCBL-Sembcorp)",Solar,Pv,PP,BD,400,0.25,,0,0,0,2037,2037,,2057,21.7817,91.8827,,,
"500-600 MW LNG Based (CPGCBL-Mitsui & Co. Ltd, Japan), Matabari area",Natural Gas,CCGT,PP,BD,587,0.37,,0,0,0,2038,2038,,2063,21.7817,91.8827,,,
Moheshkhali 3 x 1200 LNG Based CCPP (1st Phase),Natural Gas,CCGT,PP,BD,1200,0.37,,0,0,0,2038,2038,,2063,21.5075,91.918,,,
"Bay of Bengal Power Company Ltd. 160 MW Solar Power Plant, Cox bazar",Solar,Pv,PP,BD,160,0.25,,0,0,0,2039,2039,,2059,21.4272,92.0058,,,
"Hemayetpur, Rajshahi 35 MW Solar Park (BCRECL)",Solar,Pv,PP,BD,35,0.25,,0,0,0,2039,2039,,2059,24.3636,88.6241,,,
Kurigram 51 MW Solar Park,Solar,Pv,PP,BD,51,0.25,,0,0,0,2040,2040,,2060,25.8076,89.6366,,,
Payra 20 MW Wind Power Plant (Phase 1) (BCRECL),Wind,Offshore,PP,BD,20,0.4,,0,0,0,2040,2040,,2060,22.3419,90.3187,,,
Sheikh Ahmed Dalmuk Al-Maktum 100 MW Solar,Solar,Pv,PP,BD,100,0.25,,0,0,0,2036,2036,,2056,23.8103,90.4125,,,
Payra 30 MW Wind PP (2nd Phase) (BCRECL),Wind,Offshore,PP,BD,30,0.4,,0,0,0,2037,2037,,2057,22.3419,90.3187,,,
